"","ubicgeo","cod_delito","total_procesados","anio","sistema","concepto"
"453","01001",7010,1,"2019","control","- Narcomenudeo"
"454","01001",5010,1,"2019","control","- Violencia familiar"
"455","01001",5010,1,"2019","control","- Violencia familiar"
"456","01001",7010,1,"2019","control","- Narcomenudeo"
"457","01001",7010,1,"2019","control","- Narcomenudeo"
"458","01001",7010,1,"2019","control","- Narcomenudeo"
"459","01001",7010,1,"2019","control","- Narcomenudeo"
"460","01001",1010,1,"2019","control","- Homicidio"
"461","01001",7010,1,"2019","control","- Narcomenudeo"
"462","01001",7010,1,"2019","control","- Narcomenudeo"
"463","01001",7010,1,"2019","control","- Narcomenudeo"
"464","01001",7010,1,"2019","control","- Narcomenudeo"
"465","01001",7010,1,"2019","control","- Narcomenudeo"
"466","01001",7010,1,"2019","control","- Narcomenudeo"
"467","01001",5010,1,"2019","control","- Violencia familiar"
"468","01001",2060,1,"2019","control","- Secuestro"
"469","01001",1010,2,"2019","control","- Homicidio"
"470","01001",7010,1,"2019","control","- Narcomenudeo"
"471","01001",7010,1,"2019","control","- Narcomenudeo"
"472","01001",1010,1,"2019","control","- Homicidio"
"473","01001",7010,1,"2019","control","- Narcomenudeo"
"474","01001",7010,1,"2019","control","- Narcomenudeo"
"475","01001",7010,1,"2019","control","- Narcomenudeo"
"476","01001",7010,1,"2019","control","- Narcomenudeo"
"477","01001",7010,1,"2019","control","- Narcomenudeo"
"478","01001",3040,1,"2019","control","- Violación"
"479","01001",7010,1,"2019","control","- Narcomenudeo"
"480","01001",1010,1,"2019","control","- Homicidio"
"481","01001",7010,1,"2019","control","- Narcomenudeo"
"482","01001",1010,1,"2019","control","- Homicidio"
"483","01001",1010,2,"2019","control","- Homicidio"
"484","01001",7010,1,"2019","control","- Narcomenudeo"
"485","01001",7010,1,"2019","control","- Narcomenudeo"
"486","01001",7010,2,"2019","control","- Narcomenudeo"
"487","01001",7010,1,"2019","control","- Narcomenudeo"
"488","01001",7010,1,"2019","control","- Narcomenudeo"
"489","01001",7010,1,"2019","control","- Narcomenudeo"
"490","01001",7010,1,"2019","control","- Narcomenudeo"
"491","01001",7010,2,"2019","control","- Narcomenudeo"
"492","01001",7010,1,"2019","control","- Narcomenudeo"
"493","01001",7010,1,"2019","control","- Narcomenudeo"
"494","01001",7010,1,"2019","control","- Narcomenudeo"
"495","01001",7010,1,"2019","control","- Narcomenudeo"
"496","01001",1010,2,"2019","control","- Homicidio"
"497","01001",7010,1,"2019","control","- Narcomenudeo"
"498","01001",7010,4,"2019","control","- Narcomenudeo"
"499","01001",7010,1,"2019","control","- Narcomenudeo"
"500","01001",7010,1,"2019","control","- Narcomenudeo"
"501","01001",5010,1,"2019","control","- Violencia familiar"
"502","01001",1010,4,"2019","control","- Homicidio"
"503","01001",7010,1,"2019","control","- Narcomenudeo"
"504","01001",7010,1,"2019","control","- Narcomenudeo"
"505","01001",7010,1,"2019","control","- Narcomenudeo"
"506","01001",7010,1,"2019","control","- Narcomenudeo"
"507","01001",2060,1,"2019","control","- Secuestro"
"508","01001",7010,1,"2019","control","- Narcomenudeo"
"509","01001",7010,1,"2019","control","- Narcomenudeo"
"510","01001",7010,1,"2019","control","- Narcomenudeo"
"511","01001",7010,1,"2019","control","- Narcomenudeo"
