"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
312,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-15,"VIOLENCIA FAMILIAR",2021-07-07,NA,NA,NA,NA,NA,NA,"Si",2020-12-17,"Vinculación a proceso","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2020,265,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-15,"VIOLACIÓN",2022-05-12,NA,2022-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,574,574,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-20,"VIOLACIÓN",NA,NA,2021-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-20,"VIOLACIÓN",NA,NA,2022-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-20,"VIOLENCIA FAMILIAR",NA,NA,2022-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,NA,1,"ORALIDAD AGUASCALIENTES",2020-10-20,"VIOLENCIA FAMILIAR",2021-07-19,NA,2021-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,272,272,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-03,"VIOLENCIA FAMILIAR",2021-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-03,"VIOLENCIA FAMILIAR",2022-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-03,"VIOLACIÓN EQUIPARADA",NA,NA,2021-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-03,"VIOLACIÓN",NA,NA,2021-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-05,"VIOLACIÓN",2022-06-13,NA,NA,2022-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,585,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-05,"VIOLACIÓN EQUIPARADA",2022-06-13,NA,NA,2022-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,585,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-11,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
