ubicgeob,cod_expe,cod_deli,delirie8,califdel,gdoconsu,formcomi,formacci,tipmodal,ele_comi,ticoncur,ticlasif,entiocur,munocurr,fec_ocur,totalca1,totalca2
"15025",4840,6155,40100,1,1,3,1,3,4,1,1,15,"15025","22/10/2018","2","1"
"15025",4841,6156,40100,1,1,2,1,3,2,1,1,15,"15122","15/08/2018","2","1"
"15025",4842,6157,40100,1,1,2,1,3,2,1,1,15,"15039","21/02/2018","2","1"
"15025",4843,6158,40100,1,1,2,1,3,2,1,1,15,"15039","21/09/2018","1","1"
"15025",4844,6159,40100,1,1,1,1,4,1,1,1,15,"15999","15/08/2018","1","1"
"15025",4845,6160,40100,1,1,1,1,3,1,1,1,15,"15025","09/09/2018","2","1"
"15025",4846,6161,40100,1,1,1,1,3,1,1,1,15,"15025","26/10/2017","1","1"
"15025",4847,6162,40100,1,1,2,1,3,2,1,1,15,"15025","20/11/2018","2","1"
"15025",4848,6163,40100,1,1,2,1,3,2,1,1,15,"15122","22/05/2018","2","1"
"15025",4849,6164,30400,1,1,3,1,3,4,1,1,15,"15025","03/08/2017","1","1"
"15025",4850,6165,40100,1,1,2,1,3,2,1,1,15,"15025","26/11/2018","1","1"
"15025",4851,6166,40100,1,1,2,1,3,2,1,1,15,"15025","15/11/2018","2","1"
"15025",4851,6167,30100,1,1,2,1,3,2,1,1,15,"15025","15/11/2018","1","1"
"15025",4852,6168,30700,1,2,3,1,3,4,1,3,15,"15025","28/05/2018","1","1"
"15025",4853,6169,40100,1,1,2,1,3,2,1,1,15,"15039","13/11/2018","1","1"
"15025",4854,6170,20600,1,1,1,1,3,1,1,2,15,"15999","06/03/2017","5","2"
"15025",4855,6171,30400,1,1,3,1,3,3,1,1,15,"15039","17/05/2018","1","1"
"15025",4856,6172,40100,1,1,2,1,3,2,1,1,15,"15039","11/06/2018","1","3"
"15025",4857,6173,20600,3,1,3,3,6,6,3,4,15,"15999","08/09/2012","1","1"
"15025",4858,6174,10400,2,1,3,1,4,3,1,1,15,"15025","04/01/2019","1","1"
"15025",4859,6175,40100,1,1,2,1,3,2,1,1,15,"15039","28/02/2018","1","1"
"15025",4860,6176,40500,1,1,2,1,3,2,1,2,15,"15039","28/04/2018","2","11"
"15025",4861,6177,40100,1,1,1,1,3,1,1,1,15,"15025","19/06/2018","1","1"
"15025",4862,6178,40100,1,1,1,1,3,1,1,1,15,"15009","28/08/2018","1","2"
"15025",4863,6179,30400,1,1,3,1,3,3,1,1,15,"15025","16/06/2016","1","1"
"15025",4864,6180,30400,1,1,3,1,3,3,1,1,15,"15122","25/07/2018","1","1"
"15025",4865,6181,40100,1,1,2,1,3,2,1,1,15,"15039","22/09/2018","1","1"
"15025",4866,6182,40500,1,1,3,1,3,3,1,1,15,"15094","25/09/2018","2","1"
"15025",4867,6183,40100,2,1,2,1,3,2,1,1,15,"15039","06/09/2018","1","1"
"15025",4868,6184,40500,1,1,2,1,3,2,1,1,15,"15025","04/07/2018","2","1"
"15025",4869,6185,40100,1,1,2,1,3,2,1,1,15,"15025","19/09/2018","1","1"
"15025",4870,6186,40100,1,1,2,1,3,2,1,1,15,"15039","09/11/2018","4","2"
"15025",4871,6187,10400,1,1,3,1,3,3,1,3,15,"15083","03/04/2015","1","1"
"15025",4872,6188,40100,1,1,2,1,3,2,1,1,15,"15039","19/12/2018","1","1"
"15025",4873,6189,40100,1,1,2,1,3,2,1,1,15,"15039","16/11/2018","1","1"
"15025",4874,6190,70900,2,1,1,1,3,1,1,1,15,"15025","12/09/2018","1","1"
"15025",4875,6191,40500,1,1,2,1,3,2,1,1,15,"15039","15/11/2018","1","1"
"15025",4876,6192,10100,1,1,1,1,4,1,1,1,15,"15025","02/09/2018","1","2"
"15025",4877,6193,40100,1,1,1,1,3,1,1,1,15,"15122","27/06/2016","1","1"
"15025",4878,6194,40500,1,1,1,1,3,1,1,1,15,"15039","20/09/2018","1","1"
"15025",4879,6195,40500,1,1,2,1,3,2,1,1,15,"15039","24/10/2018","2","1"
